Correlation,MSE,MaxE,MaxEMean,MaxERaw,MinE,MinEMean,MinERaw,Mue,Mup,Neuron,Pval,PvalMSE,Session,Sige,Sigp
0.5378398147488813,0.019148651747262675,13.0,7.0,13.0,-13.0,-8.0,-13.0,-8.999999999999995,123.05388193629055,49,8.249208439334451e-19,4.733037509167419e-26,dFF_tetO_9_07272021_T10processedOutput,14.398825560197052,128.87834472576682
0.0023339612207546553,0.027000222849920878,,0.0,,,0.0,,-0.14699341778248265,-32.10956889330087,31,,,dFF_tetO_8_08022021_T10processedOutput,5.532175382656663,1.3308078268168513
0.06405785805995272,0.024072343691095763,13.0,13.0,13.0,-12.0,-12.0,-12.0,13.999999999999998,210.81592985690205,297,0.002748545224662303,0.039448043239345074,dFF_tetO_7_07302021_T10processedOutput,3.68262766734442,17.843877094306407
0.03673668699926036,0.02736477564448404,11.0,13.0,13.0,-12.0,-12.0,-12.0,-11.683803537985176,297.0537738119645,233,0.005269133579396254,0.08221917948510382,dFF_tetO_7_07302021_T10processedOutput,4.611936608991274,6.094443436468919
0.048319006589638114,0.02202592959481325,4.0,2.0,4.0,-4.0,-2.0,-5.0,-0.0717014591463109,26.07658335931148,89,2.1430646630943362e-21,6.20928499926302e-26,dFF_tetO_9_07272021_T10processedOutput,0.15624809655665645,43.62347971710784
0.8149162157470219,0.007504204358222015,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999,-25.14706986745225,30,2.741627034832753e-22,2.7211506195329188e-22,dFF_tetO_9_07272021_T10processedOutput,1.968875467043678,21.377504949781873
0.08658790505046358,0.024563972714580287,,,,,,,-2.8326166684129457,349.99999999999994,205,1.0,1.0,dFF_tetO_8_07282021_T10processedOutput,15.695596752526436,45.05184801205339
0.778208743243717,0.00827488977446911,0.0,0.0,0.0,0.0,0.0,0.0,0.20596538769539957,-18.98242119492319,28,2.4258901984816193e-11,2.4249423505479028e-11,dFF_tetO_9_07272021_T10processedOutput,1.7770888531009903,19.209733605920263
0.17086544009948018,0.017537722396832572,1.0,0.0,1.0,-1.0,0.0,-1.0,0.9999999999,-7.18366060693859,100,7.482271933825102e-82,2.308737034394437e-82,dFF_tetO_9_07272021_T10processedOutput,0.8090385000762539,25.554963003568453
,0.026163535746487308,,,,,,,5.468105158396529,310.5019715188586,275,1.0,1.0,dFF_tetO_9_07302021_T10processedOutput,3.3964696834330264,0.5044831082371912
0.19101946571510764,0.014023216597916143,13.0,,13.0,-12.0,,-12.0,14.9999999985,349.99999999999994,44,4.4207862449395985e-51,2.538156400426262e-52,dFF_tetO_7_07302021_T10processedOutput,13.336647046565945,67.36303284980977
-0.021319262428905486,0.02792666437245357,,1.0,,,-1.0,,0.0,15.00282246990145,125,1.0,1.0,dFF_tetO_9_07302021_T10processedOutput,5.0,0.4587476007589898
0.32520311212830133,0.02148368099698345,13.0,11.0,13.0,-12.0,-11.0,-12.0,0.36950738431094104,176.8188776923893,127,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,29.999999999999996,84.95103253306559
0.053022767855289504,0.027301554348841215,13.0,13.0,13.0,-12.0,-12.0,-12.0,7.595623850243634,236.39684683119185,69,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,1.6200819824803128,13.777285724041873
0.14377982877565493,0.019155445264493923,14.0,14.0,14.0,-15.0,-15.0,-15.0,12.153288649765999,263.3621773046698,109,4.7173579467002555e-39,5.943833130822387e-40,dFF_tetO_8_07282021_T10processedOutput,12.285750537083636,49.17879789409137
0.5635497855082321,0.017025428231053265,7.0,4.0,7.0,-7.0,-3.0,-7.0,4.999999999999999,46.70967730455892,45,3.175615719963467e-78,5.993632505416893e-79,dFF_tetO_8_07282021_T10processedOutput,5.824458183102149,63.8758594554709
,0.010364736484197211,,,,,,,-10.0,349.5465984348452,145,1.0,1.0,dFF_tetO_8_07282021_T10processedOutput,5.0,0.24547455961888964
0.18688668748218015,0.022592685230861467,15.0,9.0,15.0,-13.0,-8.0,-13.0,-4.218521088454354,115.8574831242225,104,1.0,1.0,dFF_tetO_7_08052021_T10processedOutput,29.99999999999929,130.96918782298852
0.11260894805493776,0.026385948491754383,14.0,,14.0,-15.0,,-15.0,14.999999999999998,329.9585056105716,177,1.7529692247736633e-18,3.573544581679799e-18,dFF_tetO_8_07282021_T10processedOutput,13.766971823789344,65.67041986133512
0.2586474839421804,0.022666828111735142,13.0,13.0,13.0,-12.0,-12.0,-12.0,9.778319915944213,284.27295429395946,142,2.730666226503933e-67,8.353665238631705e-74,dFF_tetO_7_07302021_T10processedOutput,5.5503532881586715,47.289289834204254
