Correlation,MSE,MaxE,MaxEMean,MaxERaw,MinE,MinEMean,MinERaw,Mue,Mup,Neuron,Pval,PvalMSE,Session,Sige,Sigp
0.12988243581987713,0.03393462557334709,3.0,1.0,3.0,-3.0,-2.0,-4.0,2.9308447188097206,21.707389567645272,100,1.1170655843509745e-28,7.028175686105789e-29,dFF_tetO_9_07272021_T10processedOutput,2.682066345142534,26.874343690807322
0.05514794950587692,0.03742399532748401,12.0,12.0,12.0,-12.0,-12.0,-12.0,1.6861644552738135,245.00500712237562,275,3.018547736798637e-08,4.1691659392667044e-07,dFF_tetO_9_07302021_T10processedOutput,1.0597366456903554,145.87701291871704
0.09322948209655108,0.026353543085467238,11.0,,13.0,-12.0,,-12.0,14.999999999999998,349.99999999999994,44,1.104462380531121e-38,2.4781202846272148e-39,dFF_tetO_7_07302021_T10processedOutput,15.01274240345597,56.9424974100772
,0.03625804132255152,,5.0,,,-4.0,,-2.0,62.726612597828826,125,1.0,1.0,dFF_tetO_9_07302021_T10processedOutput,10.395940382978843,0.004395596214821551
0.21808318924301612,0.02966227079793596,13.0,13.0,13.0,-12.0,-12.0,-12.0,2.3175099432893322,199.82682879626756,127,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,29.999999999999996,75.52256743197931
0.050247279904705275,0.035389068487531934,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999,-19.516296854643585,69,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,29.999999997,15.755892410071839
0.0199631429089205,0.031895709530368015,,13.0,,,-14.0,,11.04986809700403,184.9878426390492,109,,0.12867109126367737,dFF_tetO_8_07282021_T10processedOutput,1.6447853030870039,0.8143748716564592
0.4040431480458019,0.023282837510896156,10.0,6.0,10.0,-9.0,-6.0,-10.0,6.999999999999999,81.11530672265484,45,1.9509576838463597e-75,2.230753065322968e-76,dFF_tetO_8_07282021_T10processedOutput,8.140090383953211,61.63999437837245
0.10404813337707335,0.027408641042358406,14.0,13.0,14.0,-15.0,-13.0,-15.0,13.9999999986,175.6378838697946,145,8.808913093213823e-24,1.4387149498541452e-25,dFF_tetO_8_07282021_T10processedOutput,15.186696787036224,53.65415574886239
0.007805064059738701,0.033645149022594203,0.0,0.0,0.0,0.0,0.0,0.0,-5.321875617094106e-06,-28.184623834343597,104,1.0,1.0,dFF_tetO_7_08052021_T10processedOutput,0.013614491587308727,4.630774140165132
0.03760157295899928,0.038831171053291924,14.0,,14.0,-15.0,,-15.0,14.999999999999998,312.0582893647713,177,1.0,1.0,dFF_tetO_8_07282021_T10processedOutput,9.945701930155547,45.298729925042885
0.01543463089645211,0.03727627296577237,,3.0,,,-3.0,,2.5785203842489213,44.94279109865452,142,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,0.2974733632101805,0.9723964460518506
0.04800262839299206,0.031637108529870187,13.0,13.0,13.0,-13.0,-13.0,-13.0,-0.16680349335104505,210.9332619141106,145,0.0018360728906234153,0.020193707119021125,dFF_tetO_9_07272021_T10processedOutput,1.225427587317859,8.16437278012872
0.06074601725397898,0.02264767545905169,,,,,,,-9.515515462779694,349.99999999999994,70,0.20468060160309004,0.2517236324426161,dFF_tetO_8_07282021_T10processedOutput,14.546676022654411,31.691595727258807
0.14110789970308518,0.03738960081012633,13.0,,13.0,-15.0,,-15.0,-6.673218065465627,349.99999999999994,128,4.8299843689894295e-51,4.711316681889758e-52,dFF_tetO_8_08052021_T11processedOutput,8.363162118888996,71.61696455886786
0.050868365558798555,0.04005055997720015,15.0,14.0,15.0,-13.0,-12.0,-13.0,14.9999999985,177.73990675887157,119,1.0,1.0,dFF_tetO_7_08052021_T10processedOutput,29.999999997,45.294169573075195
0.316563452725312,0.024354692605935032,13.0,13.0,14.0,-15.0,-15.0,-15.0,-8.27818690649633,205.09895805881516,139,1.1655681386927795e-59,2.813828943773408e-60,dFF_tetO_8_08052021_T11processedOutput,13.88581977569566,59.34494731934104
0.14844506945366015,0.028256191215516112,0.0,0.0,0.0,0.0,0.0,0.0,-0.524538628690053,-21.337487519063064,53,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,0.34728719759998633,17.05886941561671
0.04206744060370428,0.035936669581597476,15.0,15.0,15.0,-13.0,-13.0,-13.0,-2.344026748539563,265.47676247859613,51,0.0008043851851788348,0.008198047871539181,dFF_tetO_7_08052021_T10processedOutput,0.24918448916954325,6.367942039067115
0.11829408302406455,0.028257413897784366,0.0,,0.0,0.0,,0.0,-0.9999832692386355,-40.448499201145324,2,0.002082688893813153,0.0023177409115910336,dFF_tetO_7_08052021_T10processedOutput,0.3774174935819566,17.52771403573476
0.006162201135936155,0.03268704793098212,,11.0,,,-14.0,,0.1499985885775929,169.90315409105386,120,1.0,1.0,dFF_tetO_8_08052021_T11processedOutput,0.5440614407345222,0.8178320634037718
0.10009967793682809,0.03941421017309643,13.0,13.0,13.0,-13.0,-13.0,-13.0,-10.497076563518362,301.73042828897337,52,1.329520978703219e-40,1.6552861698278167e-41,dFF_tetO_8_08022021_T10processedOutput,10.002716156925082,37.82791361372598
0.15563548805610355,0.0334245058770241,,,,,,,4.698135965298291,349.99999999999994,156,5.934013979862808e-44,2.634747302212242e-44,dFF_tetO_8_07282021_T10processedOutput,10.376938513808975,48.33386830887048
0.041369873769022056,0.024674332572272594,,,,,,,-0.6837701953830513,-49.99999999998617,46,1.0,1.0,dFF_tetO_7_08052021_T10processedOutput,0.2781764799651927,21.53755814232998
0.21078165026983925,0.026609261559914978,14.0,14.0,14.0,-15.0,-15.0,-15.0,-4.10259010848446,276.11918719019485,116,1.796474645589558e-55,6.122071028684249e-56,dFF_tetO_8_07282021_T10processedOutput,9.472335684848865,29.857053368632524
,0.03354276822406243,,,,,,,-7.0,343.92924328805873,115,,,dFF_tetO_7_08052021_T10processedOutput,5.0,0.046287013446996816
0.27048206911800804,0.030244683538251684,14.0,,14.0,-15.0,,-15.0,-7.094978288638875,349.99999999999994,21,3.839372159135519e-81,2.690085391107302e-82,dFF_tetO_8_07282021_T10processedOutput,9.696477866145065,62.668998869536196
